firm_id,firm_name,ticker,sector,region,year,zscore,in_distress,zscore_lag1,X1,X2,X3,X4,X5,spei12_mean,spei12_min,drought_months,carbon_burden_low,carbon_burden_mid,carbon_burden_high,spei_x_carbon,log_assets,leverage,liquidity,roa,carbon_cost_low_kMAD,carbon_cost_mid_kMAD,carbon_cost_high_kMAD,sec_Chimie & Parachimie,sec_Distribution & Commerce,sec_Energie & Mines,sec_Immobilier,sec_Industrie (autres),sec_Materiaux de construction,sec_Telecom & Technologies,sec_Transport & Logistique
MAR013,Aluminium du Maroc,ALM,Materiaux de construction,Casablanca-Settat,2023,5.048081822107081,0,3.657375165050978,-0.4,0.0250971502590673,0.0647668393782383,0.4653587363270007,5.0,-1.624,-2.126,6,0.12595,0.2519,0.37785,-0.40908560000000005,7.118988179270512,0.9,0.6666666666666666,0.0647668393782383,8529622.135815,17059244.27163,25588866.407445,False,False,False,False,False,True,False,False
MAR014,Nexans Maroc,NEX,Materiaux de construction,Casablanca-Settat,2019,6.000754216641011,0,,4.063741022534035e-06,4.48593987630742e-06,0.0002250321155485,10.0,4.538546463528667e-07,-0.057,-0.884,2,0.12595,0.2519,0.37785,-0.014358300000000001,31.196143083422,2.763460364146554e-05,1.2300583025280185,0.0002250321155485,2020355.319906,4040710.639812,6061065.959718,False,False,False,False,False,True,False,False
MAR014,Nexans Maroc,NEX,Materiaux de construction,Casablanca-Settat,2020,6.001995202401084,0,6.000754216641011,1.3264087529632396e-06,1.4723878209839646e-05,0.0005970707328543,10.0,2.663862667658548e-06,0.283,-0.132,0,0.12595,0.2519,0.3778500000000001,0.0712877,30.49515736246402,5.7429232214016017e-05,1.0349123400828872,0.0005970707328543,5882860.778333001,11765721.556666002,17648582.334999003,False,False,False,False,False,True,False,False
MAR015,Managem,MNG,Energie & Mines,Casablanca-Settat,2019,5.94837521987422,0,,-0.4000000000000001,0.1269848919303149,0.0710826245150719,10.0,0.0160237102720416,-0.057,-0.884,2,0.229,0.4580000000000001,0.6869999999999999,-0.026106000000000004,9.429499997988083,0.0146823771314747,0.6666666666666666,0.0710826245150719,45.685500000000005,91.371,137.0565,False,False,True,False,False,False,False,False
MAR015,Managem,MNG,Energie & Mines,Casablanca-Settat,2020,6.872752916892357,0,5.94837521987422,0.0408250742947488,0.1185056141943228,0.0382160476657541,10.0,0.5317420105696175,0.283,-0.132,0,0.229,0.458,0.687,0.129614,9.522358896039568,0.0106959551450028,10.0,0.0382160476657541,1663.582637,3327.165274,4990.747911,False,False,True,False,False,False,False,False
MAR015,Managem,MNG,Energie & Mines,Casablanca-Settat,2021,7.901825235327702,0,6.872752916892357,-0.3999999999999999,0.1477843329575897,0.0232326633386523,10.0,2.098259380169524,-0.975,-1.804,5,0.229,0.458,0.687,-0.44655,9.522358896039568,0.9,0.6666666666666667,0.0232326633386523,6564.514,13129.028,19693.542,False,False,True,False,False,False,False,False
MAR015,Managem,MNG,Energie & Mines,Casablanca-Settat,2022,8.927201174939878,0,7.901825235327702,-0.4000000000000001,0.0001046870478863,1.0324348238952512,10.0,1.9694218508856545e-05,-1.207,-2.073,4,0.229,0.458,0.687,-0.552806,16.775882872055167,0.0033570717214539,0.6666666666666666,1.0,87.0658,174.1316,261.1974,False,False,True,False,False,False,False,False
MAR015,Managem,MNG,Energie & Mines,Casablanca-Settat,2023,2.484458470655388,0,8.927201174939878,-0.4,2.0,0.0449484128008536,0.0004780576327159,0.0158418738329418,-1.624,-2.126,6,0.229,0.458,0.687,-0.7437920000000001,10.05372487085723,0.8999999999999999,0.6666666666666666,0.0449484128008536,84.3178,168.6356,252.9534,False,False,True,False,False,False,False,False
MAR015,Managem,MNG,Energie & Mines,Casablanca-Settat,2024,14.223030303030304,0,2.484458470655388,-0.4,2.0,2.0,0.5050505050505051,5.0,-0.368,-1.164,1,0.229,0.458,0.687,-0.168544,3.091042453358316,0.9,0.6666666666666666,1.0,2028.8942,4057.7884,6086.6826,False,False,True,False,False,False,False,False
MAR016,SMI,SMI,Energie & Mines,Marrakech-Safi,2019,19.92,0,,-0.4000000000000001,2.0,2.0,10.0,5.0,-0.439,-1.074,2,0.229,0.458,0.687,-0.20106200000000002,3.4339872044851463,0.8999999999999999,0.6666666666666666,1.0,623140.76917,1246281.53834,1869422.30751,False,False,True,False,False,False,False,False
MAR016,SMI,SMI,Energie & Mines,Marrakech-Safi,2020,18.93935483870968,0,19.92,-0.2387096774193549,1.1612903225806452,2.0,10.0,5.0,-0.387,-0.638,3,0.229,0.458,0.687,-0.17724600000000001,3.4339872044851463,0.8999999999999999,0.6666666666666666,1.0,22479.28349,44958.56698,67437.85047,False,False,True,False,False,False,False,False
MAR016,SMI,SMI,Energie & Mines,Marrakech-Safi,2021,5.676129032258065,0,18.93935483870968,0.5741935483870968,0.4193548387096774,-2.0,10.0,5.0,-1.51,-2.164,6,0.229,0.458,0.687,-0.6915800000000001,3.4339872044851463,0.8999999999999999,3.542857142857143,-1.0,22479.28349,44958.56698,67437.85047,False,False,True,False,False,False,False,False
MAR016,SMI,SMI,Energie & Mines,Marrakech-Safi,2022,19.92,0,5.676129032258065,-0.4000000000000001,2.0,2.0,10.0,5.0,-2.343,-2.93,7,0.229,0.458,0.687,-1.073094,3.4339872044851463,0.8999999999999999,0.6666666666666666,1.0,1099095.93095,2198191.8619,3297287.7928500003,False,False,True,False,False,False,False,False
MAR016,SMI,SMI,Energie & Mines,Marrakech-Safi,2023,14.13505376344086,0,19.92,-0.3999999999999999,2.0,2.0,0.3584229390681003,5.0,-1.508,-2.176,4,0.229,0.458,0.687,-0.6906640000000001,3.4339872044851463,0.8999999999999999,10.0,1.0,1153939.54399,2307879.08798,3461818.63197,False,False,True,False,False,False,False,False
