time,lat,lon,spei12,region
2000-01-16,31.25,-2.25,-0.7360927,Oriental
2000-01-16,31.25,-1.75,-0.7637466,Oriental
2000-01-16,31.25,-1.25,-0.9931721,Oriental
2000-01-16,31.75,-9.75,0.017331278,Marrakech-Safi
2000-01-16,31.75,-9.25,-0.14761259,Marrakech-Safi
2000-01-16,31.75,-8.75,-0.24264713,Marrakech-Safi
2000-01-16,31.75,-8.25,-0.29262632,Marrakech-Safi
2000-01-16,31.75,-7.75,-0.35842142,Marrakech-Safi
2000-01-16,31.75,-7.25,-0.49858725,Marrakech-Safi
2000-01-16,31.75,-6.75,-0.62992954,Beni Mellal-Khenifra
2000-01-16,31.75,-6.25,-0.8404769,Beni Mellal-Khenifra
2000-01-16,31.75,-5.75,-0.9868938,Beni Mellal-Khenifra
2000-01-16,31.75,-5.25,-1.0963115,Draa-Tafilalet
2000-01-16,31.75,-4.75,-1.0486199,Draa-Tafilalet
2000-01-16,31.75,-4.25,-0.8858372,Draa-Tafilalet
2000-01-16,31.75,-3.75,-1.1158047,Draa-Tafilalet
2000-01-16,31.75,-3.25,-0.9932751,Draa-Tafilalet
2000-01-16,31.75,-2.75,-0.9058199,Oriental
2000-01-16,31.75,-2.25,-0.7449874,Oriental
2000-01-16,31.75,-1.75,-0.8701187,Oriental
2000-01-16,31.75,-1.25,-0.93296045,Oriental
2000-01-16,32.25,-9.25,-0.24289428,Marrakech-Safi
2000-01-16,32.25,-8.75,-0.26060545,Marrakech-Safi
2000-01-16,32.25,-8.25,-0.39679044,Marrakech-Safi
2000-01-16,32.25,-7.75,-0.5254552,Marrakech-Safi
2000-01-16,32.25,-7.25,-0.5671769,Beni Mellal-Khenifra
2000-01-16,32.25,-6.75,-0.7669642,Beni Mellal-Khenifra
2000-01-16,32.25,-6.25,-0.928859,Beni Mellal-Khenifra
2000-01-16,32.25,-5.75,-1.1799271,Beni Mellal-Khenifra
2000-01-16,32.25,-5.25,-1.155989,Beni Mellal-Khenifra
2000-01-16,32.25,-4.75,-1.2923205,Draa-Tafilalet
2000-01-16,32.25,-4.25,-1.230233,Fes-Meknes
2000-01-16,32.25,-3.75,-1.1478323,Fes-Meknes
2000-01-16,32.25,-3.25,-1.054847,Oriental
2000-01-16,32.25,-2.75,-0.9847859,Oriental
2000-01-16,32.25,-2.25,-0.9150205,Oriental
2000-01-16,32.25,-1.75,-0.9902281,Oriental
2000-01-16,32.25,-1.25,-1.0495911,Oriental
2000-01-16,32.75,-16.75,-0.6560461,Laayoune-Sakia El Hamra
2000-01-16,32.75,-9.25,-0.22053987,Marrakech-Safi
2000-01-16,32.75,-8.75,-0.31257725,Marrakech-Safi
