firm_id,firm_name,sector,region,year,total_assets,current_assets,current_liabilities,retained_earnings,ebit,total_debt,revenue,market_cap,ticker,year_listed
MAR035,CTM,Transport & Logistique,Casablanca-Settat,2023,3.458242952515057e+16,2.938292757671806e+16,68147.0,10321388.0,802616765461.0,3.112418657263551e+16,40483284.9,10.0,CTM,2000
MAR035,CTM,Transport & Logistique,Casablanca-Settat,2024,14.0,11.200000000000001,3.2894719272313623e+19,1.7852414075337772e+18,1.0438694050426663e+19,12.6,40483284.9,10.0,CTM,2000
MAR036,Marsa Maroc,Transport & Logistique,Casablanca-Settat,2019,218.199,174.55920000000003,719.06,204.77,28.0,103.58,961.988,217.7761,MSA,2016
MAR036,Marsa Maroc,Transport & Logistique,Casablanca-Settat,2020,577.521,116.356,584.523,854.685,-3796841200.6525,519.7689,27571552909381.0,10.0,MSA,2016
MAR036,Marsa Maroc,Transport & Logistique,Casablanca-Settat,2021,78091777577521.0,20885032116356.0,11191381584523.0,559395854685.0,2018.0,26416871639696.0,2018.0,98182321281867.5,MSA,2016
MAR036,Marsa Maroc,Transport & Logistique,Casablanca-Settat,2022,80598527809177.0,21982362088503.0,12168591119138.0,697310559395.0,13634161129369.0,23657742641687.0,40142483662838.0,108187491818231.0,MSA,2016
MAR036,Marsa Maroc,Transport & Logistique,Casablanca-Settat,2023,78907808059852.0,28088452198236.0,10369621216859.0,926938697310.0,802616765461.0,20319122365774.0,43637374014248.0,111318502818748.19,MSA,2016
MAR036,Marsa Maroc,Transport & Logistique,Casablanca-Settat,2024,82986837890780.0,32663922808845.0,11576821036962.0,1155708926938.0,2.0877311554657534e+19,15980342031912.0,5.06509243637377e+19,127312342131849.19,MSA,2016
MAR037,TIMAR,Transport & Logistique,Casablanca-Settat,2020,391.067,216.276,55354585453.2615,53.694,511.695,77.7,15440.147,595.3973,TIM,2006
MAR037,TIMAR,Transport & Logistique,Casablanca-Settat,2021,374.567,299.65360000000004,87222986.75,3011000.0,28.407,337.1103,336123131.73,10.0,TIM,2006
MAR037,TIMAR,Transport & Logistique,Casablanca-Settat,2023,374.567,299.65360000000004,10369621216859.0,2022.0,802616765461.0,33.0,404.0,,TIM,2006
MAR038,Afriquia Gaz,Transport & Logistique,Casablanca-Settat,2019,399237372899.0,319389898319.2,39311023344612.0,397291899.61,7736958471429.5,359313635609.10004,63924936089585.0,10.0,AGZ,2000
MAR038,Afriquia Gaz,Transport & Logistique,Casablanca-Settat,2021,37463944385118.5,29971155508094.8,2519267480788591.0,747366930.19,7334767992939.0,20243024306820.1,5519267715389230.0,32719748148766.957,AGZ,2000
MAR038,Afriquia Gaz,Transport & Logistique,Casablanca-Settat,2023,4836284956032.48,3869027964825.9844,46487583681476.0,874333761.73,802616765461.0,245173241883.0,95078578142654.0,8723112256884.013,AGZ,2000
MAR038,Afriquia Gaz,Transport & Logistique,Casablanca-Settat,2024,49559857336615.69,32380003139295.0,36814763634417.0,27.0,76546195793325.1,2907403058565.2,814265485260884.8,88639663128295.92,AGZ,2000
MAR039,Snep,Chimie & Parachimie,Casablanca-Settat,2019,12575491297954.0,478228703.57,373796966.76,100000000.0,11771591021.0,18.4,938248903.53,26408531725664.76,SNP,2000
MAR039,Snep,Chimie & Parachimie,Casablanca-Settat,2020,14670031257549.0,513666721.43,379536870.01,300480334.35,14670031257549.0,1946768368.43,1641041.22,30802977427279.2,SNP,2000
MAR039,Snep,Chimie & Parachimie,Casablanca-Settat,2021,734.101,587.2808,534.09,100.0,213.074,415.0,93.501,670.1121,SNP,2000
MAR039,Snep,Chimie & Parachimie,Casablanca-Settat,2022,17616451734101.0,505.352,474.25,446232959.71,152.972,130.585,107.442,36994548641337.875,SNP,2000
MAR039,Snep,Chimie & Parachimie,Casablanca-Settat,2023,717.305,633.357,156.353,494913231.34,13.463,441.995,356.8,578.151,SNP,2000
MAR039,Snep,Chimie & Parachimie,Casablanca-Settat,2024,600.0,480.0,364521549.45,438153639.17,-10709.0,540.0,794476633333.0,10.0,SNP,2000
MAR040,Sothema,Chimie & Parachimie,Casablanca-Settat,2020,7.922737761236906e+17,688445771.94,409547126.33,7.657746670725801e+17,3.596923294752725e+17,1065018209.43,1809916361.81,1.663774927623212e+18,SOT,2005
MAR040,Sothema,Chimie & Parachimie,Casablanca-Settat,2021,62.0,49.6,4.229987884095471e+25,-828735.0,420853359692.0,55.800000000000004,2020.0,10.0,SOT,2005
MAR040,Sothema,Chimie & Parachimie,Casablanca-Settat,2022,423417470.0,338733976.0,4.747709474229988e+25,-2727266.0,44828997619.9,31.0,3.701507115197922e+45,889176621.9000001,SOT,2005
MAR040,Sothema,Chimie & Parachimie,Casablanca-Settat,2023,417470448.0,79.964,528.765,-2383724.0,41234738817.5,31.0,1.6450810001706603e+28,876687875.7,SOT,2005
MAR040,Sothema,Chimie & Parachimie,Casablanca-Settat,2024,470448499.0,376358799.20000005,633601805.26,783419371.59,529783431603.0,31.0,2991627908.0,987941782.8000001,SOT,2005
MAR041,Promopharm,Chimie & Parachimie,Casablanca-Settat,2020,423417470.0,338733976.0,394541998.16999996,3.8288733368653024e+17,1.7985349975326502e+17,381075723.0,2020.0,,PRP,2006
MAR041,Promopharm,Chimie & Parachimie,Casablanca-Settat,2021,423417470.0,338733976.0,2.1149939420477355e+25,-414317.5,210426679952.537,381075723.0,2021.0,,PRP,2006
MAR041,Promopharm,Chimie & Parachimie,Casablanca-Settat,2022,423417470.0,338733976.0,2.373854737114994e+25,221752846.855,22414498886.436,80.7925,2022.0,,PRP,2006
MAR041,Promopharm,Chimie & Parachimie,Casablanca-Settat,2023,423417470.0,326986710.48,355480386.73,100.0,20617369415.4815,381075723.0,844212812.37,,PRP,2006
MAR041,Promopharm,Chimie & Parachimie,Casablanca-Settat,2024,423417470.0,328361567.59,354188874.76,56757190.98,264891710447.0,227569236.68,971718722.43,,PRP,2006
MAR045,Ennakl Automobiles,Industrie (autres),Casablanca-Settat,2023,31.0,24.8,295374434.355,1.0934046398480464e+16,5089742441992458.0,27.900000000000002,59102122704278.0,10.0,ENA,2012
